epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,810.862,1.8911,2.16623,1.42898,0.71889,0.59598,0.65399,0.29711,1.8204,2.2101,1.5135,0.000665017,0.000665017,0.000665017
2,1477.5,1.90262,1.90969,1.47216,0.64287,0.57081,0.6093,0.28116,1.88798,1.79864,1.55166,0.00130532,0.00130532,0.00130532
1,725.54,1.8911,2.16623,1.42898,0.71889,0.59598,0.65399,0.29711,1.8204,2.2101,1.5135,0.000665017,0.000665017,0.000665017
1,57.0768,1.89655,2.25442,1.46017,0.57255,0.54039,0.51587,0.19604,2.11843,2.4735,1.67305,0.0019901,0.0019901,0.0019901
1,108.895,1.91024,1.8039,1.36614,0.63586,0.65143,0.65315,0.29854,1.79638,1.80998,1.41183,0.000665017,0.000665017,0.000665017
1,94.5904,1.91479,1.8431,1.35177,0.73183,0.64526,0.70382,0.32281,1.81157,1.59486,1.3437,0.000663366,0.000663366,0.000663366
